sum_lil	        npix_lil        sum_big	        npix_big          time
351.39355	21              979.6179        69                5.092329599608E+04
492.35091	22              1212.2848	76                5.092470988499E+04
523.73214	24              1225.8088	76                5.092659044057E+04
483.9408	24              1187.2474	77                5.092853905170E+04
424.06368	22              1125.9209	75                5.093142863498E+04
398.37912	23              1111.6934	75                5.093411613502E+04
371.79812	21		1322.8632	91		  5.093801266276E+04
348.91909	21		1290.1654	88		  5.094305224616E+04
483.02456	22		1531.8935	89		  5.094842724613E+04
410.86592	22		1450.6289	89		  5.095568349617E+04
397.18414	22		1491.5702	89		  5.096374530174E+04
371.26013	23		1177.8761	85		  5.128158209940E+04
